date,BEN,CO,MXIL,NO2,NO,O3,PM2_5,SO2,TOL,year,month,day,week,startDate,endDate,weekOrder
2017-01-01,1.02,0.67,2.51,43.0,93.0,5.0,28.0,16.0,8.43,2017,1,1,0,-,-,0
2017-01-02,1.2,0.81,4.67,52.0,112.0,2.0,28.0,11.0,15.44,2017,1,2,1,2017 1 2,2017 1 8,1
2017-01-03,0.83,0.56,1.94,44.0,101.0,9.0,29.0,8.0,10.59,2017,1,3,1,-,-,1
2017-01-04,1.2,0.77,6.53,53.0,169.0,4.0,32.0,18.0,21.47,2017,1,4,1,-,-,1
2017-01-05,0.95,0.75,3.41,45.0,104.0,12.0,26.0,9.0,15.59,2017,1,5,1,-,-,1
2017-01-06,0.51,0.44,1.19,37.0,57.0,19.0,25.0,8.0,6.01,2017,1,6,1,-,-,1
2017-01-07,0.76,0.46,1.31,44.0,90.0,15.0,27.0,13.0,7.66,2017,1,7,1,-,-,1
2017-01-08,0.85,0.49,2.65,49.0,94.0,13.0,27.0,19.0,9.4,2017,1,8,1,-,-,1
2017-01-09,1.4,0.75,6.22,67.0,170.0,9.0,30.0,25.0,19.67,2017,1,9,2,2017 1 9,2017 1 15,2
2017-01-10,0.39,0.3,0.95,49.0,29.0,28.0,10.0,13.0,5.25,2017,1,10,2,-,-,2
2017-01-11,0.2,0.26,0.88,42.0,37.0,32.0,10.0,8.0,4.37,2017,1,11,2,-,-,2
2017-01-12,0.12,0.17,0.29,31.0,22.0,44.0,9.0,6.0,1.83,2017,1,12,2,-,-,2
2017-01-13,0.12,0.2,0.32,40.0,12.0,67.0,6.0,5.0,1.54,2017,1,13,2,-,-,2
2017-01-14,0.13,0.22,0.29,39.0,9.0,57.0,8.0,6.0,1.23,2017,1,14,2,-,-,2
2017-01-15,0.14,0.28,0.26,39.0,8.0,44.0,10.0,9.0,1.77,2017,1,15,2,-,-,2
2017-01-16,0.1,0.24,0.28,43.0,17.0,41.0,7.0,6.0,1.61,2017,1,16,3,2017 1 16,2017 1 22,3
2017-01-17,0.14,0.24,0.56,41.0,32.0,50.0,7.0,27.0,1.36,2017,1,17,3,-,-,3
2017-01-18,0.22,0.36,0.47,57.0,112.0,21.0,12.0,33.0,3.03,2017,1,18,3,-,-,3
2017-01-19,0.27,0.37,0.54,55.0,72.0,16.0,16.0,23.0,3.17,2017,1,19,3,-,-,3
2017-01-20,0.37,0.55,1.98,60.0,143.0,15.0,22.0,49.0,4.77,2017,1,20,3,-,-,3
2017-01-21,0.48,0.73,2.09,57.0,107.0,12.0,24.0,68.0,4.71,2017,1,21,3,-,-,3
2017-01-22,0.34,0.56,0.33,47.0,82.0,12.0,17.0,44.0,2.45,2017,1,22,3,-,-,3
2017-01-23,0.6,0.57,1.39,48.0,83.0,15.0,16.0,30.0,4.63,2017,1,23,4,2017 1 23,2017 1 29,4
2017-01-24,0.91,0.53,2.69,38.0,58.0,14.0,19.0,29.0,6.36,2017,1,24,4,-,-,4
2017-01-25,0.98,0.58,3.2,41.0,67.0,10.0,22.0,4.0,7.46,2017,1,25,4,-,-,4
2017-01-26,0.77,0.47,2.54,36.0,59.0,24.0,18.0,4.0,5.99,2017,1,26,4,-,-,4
2017-01-27,0.65,0.44,2.06,38.0,50.0,23.0,7.0,12.0,5.73,2017,1,27,4,-,-,4
2017-01-28,0.64,0.41,1.42,35.0,30.0,22.0,12.0,5.0,4.08,2017,1,28,4,-,-,4
2017-01-29,0.86,0.51,2.08,35.0,36.0,10.0,12.0,5.0,6.78,2017,1,29,4,-,-,4
2017-01-30,0.84,0.57,2.31,29.0,73.0,24.0,12.0,8.0,8.16,2017,1,30,5,2017 1 30,2017 2 5,1
2017-01-31,0.49,0.26,1.0,32.0,23.0,43.0,12.0,4.0,3.34,2017,1,31,5,-,-,1
2017-02-01,0.75,0.42,2.24,38.0,55.0,26.0,19.0,10.0,7.05,2017,2,1,5,-,-,1
2017-02-02,0.21,0.2,0.35,20.0,10.0,55.0,7.0,5.0,1.55,2017,2,2,5,-,-,1
2017-02-03,0.3,0.24,0.83,30.0,18.0,47.0,6.0,3.0,2.8,2017,2,3,5,-,-,1
2017-02-04,0.32,0.27,0.76,28.0,16.0,45.0,8.0,3.0,2.14,2017,2,4,5,-,-,1
2017-02-05,0.24,0.17,0.34,15.0,7.0,64.0,7.0,3.0,1.14,2017,2,5,5,-,-,1
2017-02-06,0.74,0.48,2.64,55.0,76.0,19.0,7.0,5.0,7.54,2017,2,6,6,2017 2 6,2017 2 12,2
2017-02-07,0.32,0.2,0.68,31.0,23.0,40.0,7.0,4.0,2.68,2017,2,7,6,-,-,2
